1,1,2,2025-11-23 06:25:49.751378 +00:00,2025-10-30 06:25:49.751378 +00:00
2,3,2,2025-11-22 06:25:49.751378 +00:00,2025-11-02 06:25:49.751378 +00:00
3,11,2,2025-11-24 06:25:49.751378 +00:00,2025-11-04 06:25:49.751378 +00:00
4,13,2,2025-11-21 06:25:49.751378 +00:00,2025-11-06 06:25:49.751378 +00:00
5,1,3,2025-11-19 06:25:49.751378 +00:00,2025-11-04 06:25:49.751378 +00:00
6,11,3,2025-11-23 06:25:49.751378 +00:00,2025-11-09 06:25:49.751378 +00:00
7,15,3,2025-11-22 06:25:49.751378 +00:00,2025-11-14 06:25:49.751378 +00:00
8,3,4,2025-11-20 06:25:49.751378 +00:00,2025-11-08 06:25:49.751378 +00:00
9,7,4,2025-11-18 06:25:49.751378 +00:00,2025-11-12 06:25:49.751378 +00:00
10,9,4,2025-11-21 06:25:49.751378 +00:00,2025-11-16 06:25:49.751378 +00:00
